                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.741,                0.44497,                0.94985,                 1.7709,             0.00023787,             0.00023787,             0.00023787
                      2,                 1.4938,                0.50989,                0.97158,                 1.7191,             0.00045231,             0.00045231,             0.00045231
                      3,                 1.3943,                0.53998,                0.97576,                 1.6926,             0.00064319,             0.00064319,             0.00064319
                      4,                 1.3424,                0.55837,                 0.9805,                  1.671,             0.00060797,             0.00060797,             0.00060797
                      5,                 1.2939,                0.57091,                0.98147,                 1.6573,             0.00057263,             0.00057263,             0.00057263
                      6,                 1.2454,                0.58052,                0.98286,                 1.6425,             0.00053728,             0.00053728,             0.00053728
                      7,                 1.2182,                 0.5978,                0.98161,                  1.641,             0.00050194,             0.00050194,             0.00050194
                      8,                 1.1941,                0.59501,                0.98314,                 1.6333,              0.0004666,              0.0004666,              0.0004666
                      9,                 1.1816,                0.60254,                0.98579,                 1.6228,             0.00043126,             0.00043126,             0.00043126
                     10,                 1.1568,                0.60783,                0.98481,                 1.6201,             0.00039591,             0.00039591,             0.00039591
                     11,                 1.1384,                 0.6088,                0.98481,                 1.6213,             0.00036057,             0.00036057,             0.00036057
                     12,                  1.124,                0.61953,                0.98523,                  1.612,             0.00032523,             0.00032523,             0.00032523
                     13,                 1.1084,                0.62399,                 0.9876,                 1.6057,             0.00028988,             0.00028988,             0.00028988
                     14,                 1.1042,                0.62901,                0.98621,                 1.5983,             0.00025454,             0.00025454,             0.00025454
                     15,                 1.0858,                0.62942,                0.98872,                 1.5953,              0.0002192,              0.0002192,              0.0002192
                     16,                 1.0733,                0.63179,                0.98788,                 1.5975,             0.00018385,             0.00018385,             0.00018385
                     17,                 1.0684,                0.63346,                0.98802,                 1.5949,             0.00014851,             0.00014851,             0.00014851
                     18,                 1.0492,                0.63444,                 0.9883,                 1.5905,             0.00011317,             0.00011317,             0.00011317
                     19,                 1.0464,                0.63458,                0.98899,                  1.589,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                 1.0428,                0.63792,                0.98955,                 1.5873,             4.2483e-05,             4.2483e-05,             4.2483e-05
