                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.741,                0.44497,                0.94985,                 1.7709,             0.00023787,             0.00023787,             0.00023787
                      2,                 1.4946,                0.51017,                0.96879,                 1.7199,             0.00038165,             0.00038165,             0.00038165
                      3,                 1.3882,                0.53831,                0.97715,                 1.6885,             0.00043118,             0.00043118,             0.00043118
                      4,                 1.3284,                0.55531,                0.97938,                 1.6742,             0.00028988,             0.00028988,             0.00028988
                      5,                 1.2793,                0.58359,                0.98022,                 1.6558,             0.00014851,             0.00014851,             0.00014851
